TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;06;037;9108.05;2038;6
Census Block;06;037;9108.05;2039;6
Census Block;06;037;9108.05;2040;6
Census Block;06;037;9108.05;2041;6
Census Block;06;037;9108.05;2042;6
Census Block;06;037;9108.05;2043;6
Census Block;06;037;9108.05;2044;6
Census Block;06;037;9108.05;2045;6
Census Block;06;037;9108.05;2046;5,6
Census Block;06;037;9108.05;2047;6
Census Block;06;037;9108.05;2048;5,6
Census Block;06;037;9108.05;2051;5
Census Block;06;037;9108.05;2052;5
Census Block;06;037;9108.05;2053;5
Census Block;06;037;9108.05;2054;5
Census Block;06;037;9108.05;2055;5
Census Block;06;037;9108.05;2056;5
Census Block;06;037;9108.05;2057;5
Census Block;06;037;9108.05;2058;5
Census Block;06;037;9108.05;2059;5
Census Block;06;037;9108.05;2060;5
Census Block;06;037;9108.05;2061;5
Census Block;06;037;9108.05;2062;5
Census Block;06;037;9108.05;2063;5
Census Block;06;037;9108.05;2064;5
Census Block;06;037;9108.05;2065;5
Census Block;06;037;9108.05;2067;5
Census Block;06;037;9108.05;2068;5
Census Block;06;037;9108.05;2069;5
Census Block;06;037;9108.05;2070;5
Census Block;06;037;9108.05;2071;5
Census Block;06;037;9108.05;2072;5
Census Block;06;037;9108.05;2073;5
Census Block;06;037;9108.05;2074;5
Census Block;06;037;9108.05;2075;5
Census Block;06;037;9108.05;2076;5
Census Block;06;037;9108.05;2077;5
Census Block;06;037;9108.05;2078;5
Census Block;06;037;9108.05;2079;5
Census Block;06;037;9108.05;2080;5
Census Block;06;037;9108.05;2081;5
Census Block;06;037;9108.05;2082;5
Census Block;06;037;9108.05;2083;5
Census Block;06;037;9108.05;2084;5
Census Block;06;037;9108.05;2085;5
Census Block;06;037;9108.05;2086;5
Census Block;06;037;9108.05;2087;5
Census Block;06;037;9108.05;2088;5
Census Block;06;037;9108.05;2089;5
Census Block;06;037;9108.05;2090;5
Census Block;06;037;9108.05;2091;5
Census Block;06;037;9108.05;2099;5
Census Block;06;037;9108.05;2100;5
Census Block;06;037;9108.05;2162;5
Census Block;06;037;9108.05;2163;5
Census Block;06;037;9108.05;2164;5
Census Block;06;037;9108.05;2165;5
Census Block;06;037;9108.05;2166;5
Census Block;06;037;9108.05;2167;5
Census Block;06;037;9108.05;2168;5
Census Block;06;037;9108.05;2169;5
Census Block;06;037;9108.05;2170;5
Census Block;06;037;9108.05;2171;5
Census Block;06;037;9108.05;2173;5
Census Block;06;037;9108.05;2174;5
Census Block;06;037;9108.05;2178;6
Census Block;06;037;9108.05;2185;6
Census Block;06;037;9108.05;2186;5,6
Census Block;06;037;9108.05;2187;5
Census Block;06;037;9108.12;1041;6
Census Block;06;037;9108.12;1043;6
Census Block;06;037;9108.12;1044;6
Census Block;06;037;9108.12;1054;6
Census Block;06;037;9108.12;1055;6
Census Block;06;037;9108.12;1056;6
Census Block;06;037;9108.12;1057;6
Census Block;06;037;9108.12;1058;6
Census Block;06;037;9108.12;1059;6
Census Block;06;037;9108.12;1060;6
Census Block;06;037;9108.12;1061;6
Census Block;06;037;9108.12;1062;6
Census Block;06;037;9108.12;1063;6
Census Block;06;037;9108.12;1064;6
Census Block;06;037;9108.12;1065;6
Census Block;06;037;9108.12;1066;6
Census Block;06;037;9108.12;1067;6
Census Block;06;037;9108.12;1068;6
Census Block;06;037;9108.12;1075;6
Census Block;06;037;9108.12;1076;6
Census Block;06;037;9108.12;1077;6
Census Block;06;037;9108.12;1078;6
Census Block;06;037;9108.12;1079;6
Census Block;06;037;9108.12;1080;6
Census Block;06;037;9108.13;1000;1
Census Block;06;037;9108.13;1001;1
Census Block;06;037;9108.13;1002;1
Census Block;06;037;9108.13;1003;1
Census Block;06;037;9108.13;1004;1
Census Block;06;037;9108.13;1005;1
Census Block;06;037;9108.13;1022;1
Census Block;06;037;9108.13;1023;1
Census Block;06;037;9108.13;1024;1
Census Block;06;037;9108.13;1025;1
Census Block;06;037;9108.13;1026;1
Census Block;06;037;9108.13;1027;1
Census Block;06;037;9108.13;1028;1
Census Block;06;037;9108.13;1029;1
Census Block;06;037;9108.13;2030;1
Census Block;06;037;9108.13;2031;1
