"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","SE_A00002_001","SE_A00003_001","SE_A00003_002","SE_A00003_003","SE_A02002_002","SE_A02002_003","SE_A02002_004","SE_A02002_005","SE_A02002_006","SE_A02002_007","SE_A02002_008","SE_A02002_009","SE_A02002_010","SE_A02002_011","SE_A02002_012","SE_A02002_013","SE_A02002_014","SE_A02002_015","SE_A02002_016","SE_A02002_017","SE_A02002_018","SE_A02002_019","SE_A02002_020","SE_A02002_021","SE_A02002_022","SE_A02002_023","SE_A02002_024","SE_A02002_025","SE_A02002_026","SE_A02002_027","SE_C01001B_002","SE_C01001B_003","SE_C01001B_004","SE_C01001B_005","SE_C01001B_006","SE_C01001B_007","SE_C01001B_008","SE_C01001B_009","SE_C01001B_010","SE_C01001B_011","SE_C01001B_012","SE_C01001B_013","SE_C01001B_014","SE_C01001B_015","SE_C01001B_016","SE_C01001B_017","SE_C01001B_018","SE_C01001B_019","SE_C01001B_020","SE_C01001B_021","SE_C01001B_022","SE_C01001B_023","SE_A01004_001","SE_A01004_002","SE_A01004_003","SE_A10008_001","SE_A10008_002","SE_A10008_003","SE_A10008_004","SE_A10008_005","SE_A10008_006","SE_A10008_007","SE_A10008_008","SE_A10008_009","SE_A10024_001","SE_A10024_002","SE_A10024_003","SE_A10024_004","SE_A10024_005","SE_A10024_006","SE_A10024_007","SE_A10024_008","SE_A10002B_001","SE_A10002B_002","SE_A10002B_003","SE_A10002B_004","SE_A10002B_005","SE_A10002B_006","SE_A10002B_007","SE_A10002B_008","SE_A10022_001","SE_A10022_002","SE_A10022_003","SE_A10022_004","SE_A10022_005","SE_A10022_006","SE_A10022_007","SE_A10022_008","SE_A10005B_001","SE_A10005B_002","SE_A10005B_003","SE_A10005B_004","SE_A10005B_005","SE_A10005B_006","SE_A10005B_007","SE_A10005B_008","SE_A10009_001","SE_A10009_002","SE_A10009_003","SE_A10009_004","SE_A10009_005","SE_A10009_006","SE_A10009_007","SE_A10009_008","SE_A10009_009","SE_A10009_010","SE_A10009_011","SE_A10009_012","SE_A10009_013","SE_A10009_014","SE_A10009_015","SE_A10009_016","SE_A10009_017","SE_A10009_018","SE_A10009_019","SE_A10010_002","SE_A03001B_002","SE_A03001B_010","SE_A10023_002","SE_A10023_003","SE_A10020_002","SE_A10020_003","SE_A10020_004","SE_A10020_005","SE_A10020_006","SE_A10020_007","SE_A10020_008","SE_A10020_009","SE_A10020_010","SE_A01003B_002","SE_A01003B_003","SE_A01003B_004","SE_A01003B_005","SE_A01003B_006","SE_A01003B_007","SE_A01003B_008","SE_A01003B_009","SE_A01003B_010","SE_A10003_001","SE_A10003B_001","SE_A11001_002","SE_A11001_003","SE_A11001_004","SE_A11001_005","SE_A11001_006","SE_A14019_001","SE_A14016_001","SE_A14021_001","SE_A14023_001","SE_A14023_002","SE_A14023_009","SE_A10011_002","SE_A10011_003","SE_A10019_002","SE_A10019_003","SE_A10016_002","SE_A10016_003","SE_A10012_002","SE_A10012_003","SE_A10017_002","SE_A10017_003","SE_A10018_002","SE_A10018_003","SE_A10014_002","SE_A10014_003","SE_A10015_002","SE_A10015_003","SE_A10013_002","SE_A10013_003","SE_A14024_001","SE_A14026_001","SE_A14026_002","SE_A14026_003","SE_A14026_004","SE_A14026_005","SE_A14027_001","SE_A14027_002","SE_A14027_003","SE_A14027_004","SE_A14027_005","SE_A14027_006","SE_A14025_001","SE_A14025_002","SE_A14025_003","SE_A14025_004","SE_A14025_005","SE_A14025_006","SE_A14028_001","SE_A10060_001","SE_A10060_002","SE_A10060_003","SE_A10044_001","SE_A10044_002","SE_A10044_003","SE_A10032_002","SE_A10032_003","SE_A10032_004","SE_A10032_005","SE_A10032_006","SE_A10032_007","SE_A10032_008","SE_A10032_009","SE_A10032_010","SE_A10032_011","SE_A10032_012","SE_A10050_002","SE_A10050_003","SE_A10050_004","SE_A10050_005","SE_A10050_006","SE_A10050_007","SE_A10042B_002","SE_A10042B_003","SE_A10042B_004","SE_A10042B_005","SE_A10042B_006","SE_A10042B_007","SE_A10057_001","SE_A10036_001","SE_A18003_001","SE_A18004_001","SE_A18007_002","SE_A18007_003","SE_A10037_001","SE_A10037_002","SE_A10037_003","SE_A10027_002","SE_A10027_003","SE_A10027_004","SE_A10027_005","SE_A10027_006","SE_A10027_007","SE_A10027_008","SE_A10027_009","SE_A10027_010","SE_A10027_011","SE_A10027_012","SE_A10027_013","SE_A10027_014","SE_A10027_015","SE_A13003A_001","SE_A13003A_002","SE_A13003A_003","SE_A13003B_001","SE_A13003B_002","SE_A13003B_003","SE_A13003C_001","SE_A13003C_002","SE_A13003C_003","SE_A09001_002","SE_A09001_003","SE_A09001_004","SE_A09001_005","SE_A09001_006","SE_A09001_007","SE_A09001_008","SE_A09001_009","SE_A09002_002","SE_A09002_003","SE_A09002_004","SE_A09002_005","SE_A09002_006","SE_A09002_007","SE_A09002_008","SE_A10030_003","SE_A10030_004","SE_A10030_005","SE_A10030_006","SE_A10030_007","SE_A10054B_002","SE_A10054B_003","SE_A10054B_004","SE_A10054B_005","SE_A10054B_006","SE_A10054B_007","SE_A16002_001","SE_A16002_002","SE_A16002_003","SE_A16002_004","SE_A16002_005","SE_A16002_006","SE_A16002_007","SE_A06001_002","SE_A06001_003","SE_A06001_004","SE_A06001_005","SE_A05001_002","SE_A05001_003","SE_A05001_004","SE_A10048_001","SE_A10048_002","SE_A10048_003","id"
"694","Long Beach city",2016,50.293,70342,68982,714,8347,1070,174,49135,3514,199,30938,0.111682920587984,8075199.8,5257380.47,747416.39,25560.54,622201.03,3912.3,4114714.56,1216099.92,40390.22,3435486.32,1249833.72,-1.27002573142646,0.781351369252646,-1.0113273719826,-1.0113273719826,-0.0815566802194991,0.249511296224916,4865205,3144640,470140,51.43769,50.2934,1.144286,230993,17740,15514,14816,8333,25464,42254,29346,32860,22785,14338,4903,2640,239147,16263,14074,13911,9259,26022,40424,34493,31270,25942,16829,7469,3191,436137,406549,377822,360230,347314,339180,331992,308744,263376,226066,192121,162227,128749,98097,73092,62022,49370,41128,31188,18203,11541,5831,33.6,32.4,34.9,160769,97554,61425,36129,10129,26000,63215,31296,31919,160769,47844,43885,24951,21544,14288,4984,3273,100154,32755,25878,15081,12198,9371,2891,1980,160769,52081,46647,10395,7982,28270,5434,108688,100154,34651,31777,6834,6151,18792,2874,65503,160769,52729,52279,29780,22499,6286,16213,450,265,185,108040,45275,31645,13630,3843,9787,62765,31031,31734,89751,50949,39784,54912,105857,5600,31805,32622,34977,13933,13321,18354,6953,3204,5346,27489,22416,20847,7194,5668,7382,3164,648,2.87,2.83,175424,141830,7925,16093,36550,13050687100,44880,3899295800,13679074500,8496633500,3671601800,135283,25486,129988,30781,20206,140563,23737,137032,32569,128200,10252,150517,7219,153550,18461,142308,15187,145582,29096,23503,47266,76701,114708,225500,12965,34976,60685,93596,203661,350018,3.2,8.62,14.95,23.06,50.18,21.56,0.4678,160769,60615,100154,168588,160769,7819,71875,63964,7911,6269,13702,22938,20256,13723,18097,1691,37,12960,40597,54686,39558,10022,2946,12187,36983,36790,11588,2160,446,1958,518900,30.8999996185303,127396900,1297,1209,22.8999996185303,26.2999992370605,10,844,613,3370,3783,3476,3770,3303,5741,8208,11877,49388,25667,17595,9129,108600,30318,78282,307275,51705,255570,47703,5182,42521,215219,14825,54856,40177,44534,31498,21925,7404,2814,35438,71606,54758,21274,21925,7404,61346,54753,17339,8433,2725,14624,46118,29200,7683,2028,501,360074,15441,8667,6774,344633,302037,42596,347134,123006,59646,63360,414203,332911,81292,160769,160184,159012,703
"695","Los Angeles city",2016,468.67,827884,816704,3668,90506,8916,970,584847,30586,1793,378277,0.109708606519754,370396162.13,198916544.29,9529347.63,1496020.63,16519118.96,122159.75,104623214.87,73618752.3,723841.79,252039081.38,32393612.41,-1.28579499060255,0.708260101292707,-1.03343157978654,-1.03343157978654,-0.0702286793802031,0.258867073515316,30529701,20816534,3976324,502.6933,468.6702,34.02311,1960672,118847,120185,111401,68020,205631,361068,291481,271871,211224,118981,58684,23279,2015652,115129,118241,108398,67382,208019,347743,274871,264747,230862,149175,85653,45432,3742348,3503922,3284123,3148721,3045090,2983761,2923110,2735071,2367230,2026260,1731728,1459908,1182623,923290,686165,595357,481204,413311,325107,213048,129785,68711,35.6,34.8,36.4,1378844,823799,531499,292300,94618,197682,555045,276705,278340,1378844,417979,403076,208696,172875,99007,41173,36038,884311,312521,244127,124839,99531,58849,24316,20128,1378844,397435,350166,73090,70637,206439,47269,981409,884311,252145,227625,49661,51415,126549,24520,632166,1378844,401854,399760,246766,152994,44128,108866,2094,1151,943,976990,424039,284733,139306,50490,88816,552951,275554,277397,773902,453918,360951,503463,875381,48315,258966,275837,282155,128562,112839,151693,82199,38278,46165,229383,197819,169241,66062,57361,68029,34697,15554,2.82,2.68,1498499,1275184,86008,155993,268439,119091432300,40762,35685634400,125728269500,82093998600,32687884300,1138467,240377,1054791,324053,257374,1121470,240746,1138098,309753,1069091,95455,1283389,53130,1325714,134670,1244174,109463,1269381,31619,20541,41389,70855,121267,250001,10590,30131,54996,92729,243407,467049,2.46,6.98,12.73,21.47,56.36,27.04,0.5335,1378844,494533,884311,1478666,1378844,99822,645015,558505,86510,42266,88805,130611,143006,197922,221227,9016,798,139309,329727,437230,312768,122057,37753,134132,312094,311886,97705,22865,5629,1961,593500,36.0999984741211,1248437500,1615,1361,24.8999996185303,29,12.5,4382,5422,30947,23888,28562,31345,35165,46953,60801,73753,357699,242806,157229,94652,817488,233096,584392,2621044,457673,2163371,470712,71237,399475,1820035,109699,399513,356687,402130,295717,185565,70724,18403,266804,580692,507436,190411,185565,70724,533393,446829,152223,53183,25604,151947,410344,244892,55744,15558,5826,3147797,82531,40466,42065,3065266,2626127,439139,2476906,1499418,708924,790494,3511820,2807140,704680,1378844,1369772,1350513,710
"696","Lynwood city",2016,4.84,1181,1171,4,154,3,0,929,15,2,424,0.0931414055884843,63879.73,55007.19,650,290,6855.42,0,30872.5,2425,600,24184.24,6335.61,-1.43403048264183,0.616941756791851,-1.20966130397968,-1.20966130397968,-0.0952243861134632,0.205870342481107,618120,420095,71184,4.840017,4.840017,0,34824,2658,3167,3069,1762,4043,6146,5880,3271,3190,1078,340,220,36360,2777,2892,3559,1554,4541,5816,5722,3476,2838,1798,994,393,65749,59690,53062,49746,47034,46287,44787,41162,35401,29200,23257,17598,14098,10851,7113,5879,4823,4043,2957,1947,1183,613,29.8,29.7,30,14840,12923,7810,5113,1814,3299,1917,683,1234,14840,1228,2054,2192,3222,3362,1417,1365,8878,787,1338,1182,1752,2702,716,401,14840,8659,7450,727,2286,4437,1209,6181,8878,5629,5103,567,1698,2838,526,3249,14840,8659,8659,5531,3128,1026,2102,0,0,0,6181,4264,2279,1985,788,1197,1917,683,1234,9706,6024,7633,12709,2131,41,2455,4595,3075,2180,506,1128,604,256,41,1994,3320,1580,980,124,306,443,90,4.61,4.42,24568,22257,1585,2497,2155,929048400,36660,69366900,1052674900,654099300,877279800,13719,1121,13454,1386,1340,13500,1066,13774,3113,11727,1166,13674,653,14187,1030,13810,1260,13580,14788,24319,37581,58199,92170,147318,15354,30470,45429,72853,148916,253784,4.91,9.73,14.51,23.27,47.57,20.27,0.4279,14840,5962,8878,15187,14840,347,9396,8548,848,1010,1332,1562,420,897,444,126,0,829,3107,5017,4573,932,382,793,2900,2963,1933,245,44,1956,346200,36.5,9872800,1070,1204,29.7999992370605,34.7999992370605,12.1000003814697,0,205,151,510,104,131,535,759,731,1731,4221,3186,1768,335,21438,6970,14468,42973,6939,36034,4590,806,3784,28596,1016,4903,6670,8703,4411,2378,515,124,2959,9506,10252,2862,2378,515,3934,5282,2449,1405,755,797,3367,3011,1269,367,67,49746,534,406,128,49212,44517,4695,42814,28370,8052,20318,66363,62462,3901,14840,14740,14696,724
"697","Manteca city",2016,17.733,3342,3326,11,236,28,6,2081,301,17,1766,0.0879712746858169,173346.92,160540.55,9362,2344,57604.8,5.1,92724.37,28829.29,1671,59080.61,24062.84,-1.05157091561939,1.01265521943206,-0.839494314781568,-0.839494314781568,-0.0991921005385997,0.260442385295677,959556,690280,76912,17.75725,17.73346,0.02378969,36517,3021,2906,2592,1516,4448,5030,4302,4968,4325,1974,1248,187,40395,3186,4074,2081,1188,3234,5808,4617,5503,5294,3027,1812,571,70705,63725,59052,56348,54565,53845,52308,48666,42880,37828,33194,28909,23302,18438,14350,11610,8819,8123,6250,3818,2040,758,34.5,32.1,36.3,24828,17744,12589,5155,1770,3385,7084,2759,4325,24828,5063,7451,4137,3150,3617,1201,209,10503,2630,2092,1665,1632,1638,768,78,24828,9749,8888,1607,2521,4760,861,15079,10503,5017,4839,1127,1351,2361,178,5486,24828,10103,9880,6449,3431,1162,2269,223,173,50,14725,7864,6140,1724,608,1116,6861,2586,4275,18152,6926,4128,7034,17794,963,3649,5130,5048,1569,3394,3018,1544,513,811,2809,2420,1631,134,1309,683,458,248,3.07,3.24,19453,28901,818,3428,6452,1885919100,42223,340727900,1943085600,1407237900,543326600,20016,4812,19264,5564,2713,22115,4663,20165,6923,17905,1787,23041,1023,23805,5228,19600,3046,21782,25264,26799,51062,79615,116293,170901,15135,39884,63358,96264,165156,248680,3.98,10.5,16.68,25.35,43.49,16.37,0.4001,24828,14325,10503,25695,24828,867,20347,19933,414,360,1377,800,940,689,435,747,0,47,1852,4794,10154,6634,1347,47,1852,3305,3446,1661,192,1991,355400,34.7000007629395,13486800,1551,1216,22,23.6000003814697,11.3000001907349,0,63,695,734,574,577,654,847,1260,1297,5757,7553,3329,976,20195,2704,17491,47524,5108,42416,8495,756,7739,30732,2937,8895,6422,2991,2203,3241,4043,708,6183,11363,3509,1685,3241,4043,7522,8855,5114,1734,827,607,4433,3262,1385,678,138,56087,3540,1749,1791,52547,45519,7028,64179,12733,6860,5873,68897,47448,21449,24828,24828,24781,735
"698","Menifee city",2016,46.466,5620,5584,4,547,90,0,3540,977,36,2842,0.0911032028469751,234988.9,228977.22,1975,1775.41,13973.21,0,62256.01,87672.84,3338.75,131440.17,40464.58,-0.877033807829181,1.20782541099778,-0.733498220640569,-0.733498220640569,-0.0629857651245552,0.252119436995608,2416309,1892431,88510,46.60671,46.46564,0.1410698,42767,3069,3119,3637,2661,3525,6160,5040,4539,4508,3201,2312,996,45743,2749,2470,2215,2013,3227,6047,4773,5244,5995,5336,4169,1505,82692,77103,71251,66577,64023,62643,62184,59825,52576,47618,42767,37805,32357,28022,22310,20215,17519,16056,12753,8982,5486,2501,38.5,34.1,43.7,29148,21520,16342,5178,1740,3438,7628,1974,5654,29148,6967,9792,3723,4375,2688,1059,544,7710,2089,2636,1117,678,954,236,0,29148,10327,8855,1277,2242,5336,1472,18821,7710,3427,2908,436,518,1954,519,4283,29148,10327,10327,7330,2997,1097,1900,0,0,0,18821,11193,9012,2181,643,1538,7628,1974,5654,20524,5049,2180,7112,22036,405,3139,4703,4841,2599,2555,5054,4055,1797,405,1247,1300,1174,411,683,1211,759,520,3.03,2.82,21245,35706,1360,5625,7315,2294291900,38375,303260400,2417446800,1574509100,576612400,19543,9605,18822,10326,2903,26245,5707,23441,12516,16632,1179,27969,616,28532,7403,21745,4430,24718,27313,25875,45727,79153,120375,184986,16120,34731,60122,99113,183472,280687,4.1,8.82,15.28,25.18,46.62,17.83,0.4326,29148,21438,7710,31264,29148,2116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,959,9010,9520,6630,2888,22,701,3345,2261,843,538,1995,311800,43.4000015258789,10499000,1564,1394,22.5,25.2999992370605,12.6999998092651,214,367,1063,1893,980,1295,469,620,1145,1423,5010,6517,4442,2053,21835,1789,20046,49016,4339,44677,17477,1107,16370,33093,2244,5694,5945,5220,4309,5428,4253,0,5661,8222,6327,3202,5428,4253,8979,11505,4585,2281,895,613,2891,3196,663,313,34,66372,6929,3623,3306,59443,45230,14213,73797,14713,9677,5036,73440,48902,24538,29148,28962,28886,765
"699","Merced city",2016,23.316,3668,3655,5,374,56,0,2472,359,20,1548,0.0926935659760087,198257.15,192306.15,1765,670.35,20008.31,0,63633.32,74051.99,1786,78043.84,36551.69,-1.11133315158124,1.05650449127498,-0.910242639040349,-0.910242639040349,-0.0837540894220284,0.205740368042947,660926,455312,82573,23.31637,23.31637,0,42890,3770,3791,3901,3184,5180,7213,5152,4479,3020,1872,1097,231,39683,2661,2629,3782,2197,5615,6034,5146,4001,3934,2193,902,589,76142,69722,62039,56658,54234,51848,50620,45863,38684,32616,26661,22318,18225,13838,9797,8447,6884,5785,4049,2819,1659,820,27.7,26.3,30.3,24221,16705,9560,7145,1785,5360,7516,3952,3564,24221,5264,6321,4131,3732,2516,1104,1153,15524,3300,3869,2404,2675,1590,816,870,24221,10853,9993,1358,3226,5409,860,13368,15524,7582,6982,1044,2428,3510,600,7942,24221,10920,10889,5531,5358,992,4366,31,0,31,13301,5816,4029,1787,793,994,7485,3952,3533,14330,7791,7601,10808,13413,2479,4880,5602,4007,1688,1699,2402,966,498,2330,3621,3914,2348,1135,910,775,268,223,3.36,3.5,26604,24112,1825,2324,7174,1475081600,31958,367641000,1596983500,1071654600,549048400,17797,6424,16765,7456,2384,21837,2380,21841,4933,19288,3006,21215,3407,20814,4590,19631,4766,19455,19340,15453,33987,55678,87881,167255,7638,23795,42822,71592,158657,265853,2.51,7.81,14.06,23.51,52.1,21.83,0.4942,24221,8697,15524,25605,24221,1384,16729,16097,632,1350,1563,2941,525,677,740,1012,68,732,2369,6502,8869,4876,873,664,2369,5346,3960,2502,683,1983,215400,32.9000015258789,13382100,920,830,18.6000003814697,21.1000003814697,11.5,68,277,795,946,1071,1270,2133,2576,1418,2408,5568,3042,1003,196,25792,9719,16073,49469,12563,36906,6552,758,5794,28932,5310,11736,3123,2179,2589,1729,2266,1072,11585,7512,2944,1824,1729,2266,8349,7524,3108,1145,768,3294,6055,3102,2091,590,392,56480,2717,1368,1349,53763,48228,5535,64915,17658,6986,10672,75039,59431,15608,24221,24069,23751,768
"700","Milpitas city",2016,13.591,5270,5259,9,1363,114,0,3640,469,25,2261,0.0817836812144213,356526.19,333265.92,18010.27,4232.18,82452.76,0,128544.93,52582.51,8534,158573.51,54408.85,-1.15369639468691,0.950016910501819,-0.914703984819734,-0.914703984819734,-0.0544857685009488,0.294861849729038,1116959,902679,77534,13.64034,13.59074,0.04959212,39196,2843,3006,1682,878,2839,8214,5361,5479,4871,1765,1748,510,38338,2332,2677,1987,1028,2814,7013,5431,4252,5614,2864,1790,536,72359,66676,63007,61101,60273,59977,59599,55448,48419,40221,34448,29429,24782,19698,13745,11242,9213,8292,6810,4584,2968,1046,36.2,35.2,36.9,22870,17877,14994,2883,547,2336,4993,3107,1886,22870,3106,5295,4854,5804,2765,534,512,8564,1230,1663,1771,2382,1300,145,73,22870,9692,9205,2703,2273,4229,487,13178,8564,4347,4226,1417,1594,1215,121,4217,22870,9717,9717,8556,1161,246,915,0,0,0,13153,8160,6438,1722,301,1421,4993,3107,1886,3028,654,1116,2650,20220,475,4646,4540,4733,2833,1785,2453,1220,185,364,3019,2319,792,871,243,411,404,141,3.3,3.29,20940,35694,697,1763,3913,3000677600,86359,493529100,3128057300,346685700,254347100,20435,2435,20093,2777,2357,20513,10348,12522,4744,18126,1621,21249,348,22522,2326,20544,1615,21255,40344,51875,94747,135467,201466,250001,27653,73143,114545,166173,274515,380494,4.22,11.15,17.46,25.33,41.84,14.5,0.3797,22870,14306,8564,23622,22870,752,17179,12552,4627,51,1014,388,361,698,3152,779,0,412,1598,5891,9620,4613,736,412,1517,4211,2001,423,0,1984,792500,26.7999992370605,17843500,2398,1988,19.6000003814697,23,10,0,66,328,554,521,776,741,397,166,283,2131,3682,4196,3537,16412,1483,14929,50053,3612,46441,9179,796,8383,26560,1707,6484,6728,5718,4305,1200,418,231,3718,10970,7148,2875,1200,418,5192,9521,4215,2074,573,968,3044,3474,673,380,25,61033,1335,519,816,59698,51301,8397,33319,44215,24814,19401,68756,61731,7025,22870,22841,22766,779
"701","Mission Viejo city",2016,17.739,14211,14162,14,1810,336,2,8902,1699,83,7243,0.0852860460206882,1117696.99,1063431.67,8247.97,6280.15,105192.06,300,327104.39,421078.42,17262.2,495751.49,135534.1,-0.952543100415171,1.09022543789961,-0.794657659559496,-0.794657659559496,-0.0540243473365703,0.259939438025361,1484937,1254144,96386,18.1233,17.73922,0.3840817,48808,3011,2499,2437,2709,3304,5868,7101,7992,6183,4628,2368,708,47578,1662,3040,2796,2301,2685,4279,6383,7354,7051,5741,2721,1565,91713,86174,80941,75931,74193,73125,72358,69942,65829,59795,53669,46311,38635,30965,23911,21073,17731,15372,11211,7362,4788,2273,43.7,41.7,46.1,33544,25520,21439,4081,1151,2930,8024,3395,4629,33544,6493,11150,6139,6325,2506,640,291,8672,2489,1913,1500,1322,1234,95,119,33544,10726,10096,1728,1612,6756,630,22818,8672,3396,3306,287,723,2296,90,5276,33544,10901,10809,9022,1787,729,1058,92,0,92,22643,14711,12417,2294,422,1872,7932,3395,4537,28516,7743,1198,3753,29791,203,2515,5795,8427,3031,3550,5728,3090,1205,84,1140,1932,2898,522,787,502,322,485,2.83,2.83,21045,45785,776,4710,8625,4470131500,89591,700643300,4610693000,3622899300,494099600,28051,5493,27232,6312,5960,27584,11083,22461,10426,23118,1214,32330,361,33183,6532,27012,1989,31555,47836,53455,93878,130550,190384,250001,30872,74778,112168,154818,293673,467252,4.63,11.22,16.83,23.24,44.07,17.53,0.391,33544,24872,8672,34192,33544,648,29130,24347,4783,230,1277,748,541,975,1291,0,0,423,1467,6858,13657,8720,2419,336,1293,3177,2796,930,140,1980,667100,31.3999996185303,19512300,2169,2314,21.1000003814697,23.7999992370605,10,164,252,805,928,969,716,800,1009,472,275,2272,4660,6655,6685,20358,1667,18691,58112,2035,56077,17460,783,16677,47603,4631,12042,12653,7735,7159,2059,1324,652,8765,19909,10985,3909,2059,1324,6623,15104,6338,3114,969,1077,2315,3179,1114,828,159,75931,4296,1362,2934,71635,56838,14797,76061,20325,13858,6467,83482,49497,33985,33544,33544,33244,786
"702","Modesto city",2016,36.867,14516,14142,122,1842,133,0,9145,1674,67,7111,0.102369798842656,1222194.03,817312.85,111517.76,4175.37,69479.29,0,393404.4,375535.12,12663.3,625101.35,179883.95,-0.989818820611739,1.07040678259586,-0.79684554973822,-0.79684554973822,-0.0625316891705704,0.24527179668465,5650165,3982572,212172,37.09229,36.86719,0.2250956,105436,9208,8110,10005,4381,9357,15649,13306,11708,11705,8082,2909,1016,106736,7883,7035,7444,3633,8775,15221,14601,11960,13732,9673,4628,2151,195081,179936,162487,154473,149770,146503,143430,136341,119004,105471,89975,77564,65501,53896,41720,35896,28459,25088,18131,10704,6571,3167,34.7,32.3,36.8,70591,52085,36305,15780,4543,11237,18506,7759,10747,70591,14863,20685,11687,12801,5734,2816,2005,31903,7836,7654,5261,6108,2649,1158,1237,70591,28768,25005,5940,5883,13182,3763,41823,31903,14283,12392,2901,3602,5889,1891,17620,70591,29141,28889,18117,10772,2566,8206,252,252,0,41450,23196,18188,5008,1977,3031,18254,7507,10747,54858,23945,11540,21157,49434,2049,12485,12710,13732,6264,6538,10317,4818,1678,1917,7802,5842,6258,2448,2741,3210,1371,314,2.97,2.99,53909,80136,3283,8806,16353,5003682400,36151,852572900,5186602000,4056058800,1499439000,53927,16664,51670,18921,7221,63370,9423,61168,22679,47912,6713,63878,3064,67527,12768,57823,10510,60081,24445,24866,43298,68582,105406,177831,14162,34175,54631,85406,166040,273133,4,9.64,15.41,24.1,46.85,19.27,0.4313,70591,38688,31903,72981,70591,2390,55415,53141,2274,2389,2945,2658,2011,1155,4189,2219,0,1465,5600,15536,33675,11586,2729,1202,5296,11538,11528,1513,826,1976,262700,35.5,34777400,1149,1123,20.8999996185303,23.8999996185303,10,138,696,2074,2418,2662,2177,2730,3414,4684,5396,22800,12256,5020,1556,57509,8527,48982,125291,17265,108026,27622,3030,24592,77884,10357,26510,13888,9771,8617,3436,5305,1918,22729,26108,12437,5951,3436,5305,21723,27596,11900,2953,1351,4033,13827,9755,3258,671,359,154421,9938,4533,5405,144483,121429,23054,178152,34020,17307,16713,191201,136243,54958,70591,70317,69914,787
"703","Moreno Valley city",2016,51.275,8018,8001,2,769,93,11,5771,402,27,4066,0.0824395111000249,241203.84,237461.84,490,2264.55,20309.5,260,117670.43,41405.2,4008,105697.55,36263.26,-1.2272224993764,0.846464463928745,-1.01053629333999,-1.01053629333999,-0.0781653778997256,0.195149972140418,2934975,1967557,205516,51.47492,51.27456,0.2003561,98619,9448,7369,8873,4515,12568,16760,13584,10877,8280,4826,1147,372,106897,8418,8429,8594,5479,13579,15557,13830,14879,9251,5309,2526,1046,187650,171852,154385,144391,138698,134169,129699,118244,101873,85927,73295,58513,45599,32757,22555,19205,15226,12797,8630,5091,2954,1418,29.7,28.4,30.8,49785,42201,26650,15551,4335,11216,7584,3813,3771,49785,5378,11908,9080,9618,6645,4020,3136,21640,2562,4301,3819,4426,3411,2003,1118,49785,25531,20843,4062,4946,11835,4688,24254,21640,13101,11324,2576,2870,5878,1777,8539,49785,25985,25607,15326,10281,2916,7365,378,340,38,23800,16594,11324,5270,1419,3851,7206,3473,3733,16557,4800,10691,24416,25369,1461,8804,12024,11853,4681,4067,4885,1614,396,1297,5248,6541,4538,1592,906,1174,227,117,4.11,4.12,64084,66867,3330,6606,13498,3639769600,42408,378174300,4025060100,1576270200,1757710100,43635,6150,41905,7880,5273,44512,4124,45661,10982,38803,2932,46853,2374,47411,8163,41622,5737,44048,19585,28314,51446,75844,108149,173379,16412,39662,63305,89259,156911,232851,4.49,10.85,17.32,24.42,42.92,15.92,0.3855,49785,28145,21640,52305,49785,2520,40541,39649,892,241,1622,5361,2356,320,734,1130,0,422,2997,9435,18886,14045,4000,306,2997,7446,6482,3460,949,1987,290800,34,28673600,1368,1345,22.3999996185303,24.3999996185303,10,0,466,763,985,1230,1290,1315,802,1524,1900,19246,13303,4742,837,60068,14802,45266,129146,17211,111935,15174,1483,13691,82660,5929,18857,12862,17279,12941,7501,7291,643,13330,23675,21625,8595,7501,7291,11262,18843,10399,4721,3101,1254,7271,8101,3159,1160,695,144080,7587,5075,2512,136493,123779,12714,158691,46825,22550,24275,175317,157817,17500,49785,49714,49507,810
